"state_name","state_id","year","file_id","speaker","party","type","quality","source","remarks"
"Alaska","AK",1995,"AK1995.txt","Knowles_Tony","democratic","sots","as prepared","https://web.archive.org/web/20000523013357/http://www.gov.state.ak.us/speech/011795.html",
"Alaska","AK",1996,"AK1996.txt","Knowles_Tony","democratic","sots","as prepared","https://web.archive.org/web/20000619140311/http://www.gov.state.ak.us/speech/state96.html",
"Alaska","AK",1997,"AK1997.txt","Knowles_Tony","democratic","sots","as prepared","https://web.archive.org/web/20000616160755/http://www.gov.state.ak.us/speech/97sos.htm",
"Alaska","AK",1998,"AK1998.txt","Knowles_Tony","democratic","sots","as prepared","https://web.archive.org/web/20000818130003/http://www.gov.state.ak.us/speech/98sosa.html",
"Alaska","AK",1999,"AK1999.txt","Knowles_Tony","democratic","sots","as prepared","https://web.archive.org/web/20000619104357/http://www.gov.state.ak.us/speech/sos99.html",
"Alaska","AK",2000,"AK2000.txt","Knowles_Tony","democratic","sots","as prepared","https://web.archive.org/web/20000519070453/http://www.gov.state.ak.us/StateofState/sos2000.html",
"Alaska","AK",2001,"AK2001.txt","Knowles_Tony","democratic","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/10/2001",
"Alaska","AK",2002,"AK2002.txt","Knowles_Tony","democratic","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/16/2002",
"Alaska","AK",2003,"AK2003.txt","Frank_Murkowski","republican","sots","as prepared","https://web.archive.org/web/20030201150155/http://www.state.ak.us/local/sos12403.html",
"Alaska","AK",2004,"AK2004.txt","Frank_Murkowski","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/13/2004",
"Alaska","AK",2005,"AK2005.txt","Frank_Murkowski","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/14/2005",
"Alaska","AK",2006,"AK2006.txt","Frank_Murkowski","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/12/2006",
"Alaska","AK",2007,"AK2007.txt","Palin_Sarah","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/17/2007",
"Alaska","AK",2008,"AK2008.txt","Palin_Sarah","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/15/2008",
"Alaska","AK",2009,"AK2009.txt","Palin_Sarah","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/22/2009",
"Alaska","AK",2010,"AK2010.txt","Parnell_Sean","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/20/2010","Sarah Palin resigned in july 2009, succeeded by Lt. Gov. Sean Parnell"
"Alaska","AK",2011,"AK2011.txt","Parnell_Sean","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/19/2011",
"Alaska","AK",2012,"AK2012.txt","Parnell_Sean","republican","sots","as prepared","http://stateofthestate.com/content.aspx?state=AK&date=01/18/2012",
"Alaska","AK",2013,"AK2013.txt","Parnell_Sean","republican","sots","as prepared","https://www.governing.com/news/state/Alaska-parnell-2013-speech.html",
"Alaska","AK",2014,"AK2014.txt","Parnell_Sean","republican","sots","as prepared","https://web.archive.org/web/20141018161608/http://gov.alaska.gov/parnell/press-room/full-press-release.html?pr=6713",
"Alaska","AK",2015,"AK2015.txt","Walker_Bill","other","sots","as prepared","https://web.archive.org/web/20170118151855/https://gov.alaska.gov/newsroom/2015/01/2015-state-of-the-state/",
